lambda_batt,lambda_pv,annual_cost_gbp,equivalent_full_cycles,capacity_fade_pct
0.0,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
0.0,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
0.2,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
0.4,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
0.6,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
0.8,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
1.0,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.0,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.1,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.2,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.3,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.5,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,0.7,1057.0266196212456,207.96957168039316,0.003955485691898497
1.5,1.0,1057.0266196212456,207.96957168039316,0.003955485691898497
2.0,0.0,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,0.1,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,0.2,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,0.3,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,0.5,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,0.7,918.5862752984261,207.96957168039316,0.003947756224358749
2.0,1.0,918.5862752984261,207.96957168039316,0.003947756224358749
